epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3686,0.82622,2.78772,1.53834,0.00333,1,0.995,0.995,0.19482,2.57214,0.30383,0.00044,0.00044,0.00044
2,64.3486,0.27788,1.59911,1.09497,1,0.97184,0.995,0.97967,0.14841,2.30175,0.22815,0.0008109,0.0008109,0.0008109
3,93.6497,0.27828,1.21951,1.09322,0.99576,1,0.995,0.98809,0.22811,1.62334,0.33446,0.00109072,0.00109072,0.00109072
4,123.292,0.2957,1.20017,1.10375,0.99824,1,0.995,0.95886,0.35029,1.30408,0.54232,0.00127946,0.00127946,0.00127946
5,153.521,0.26246,1.14708,1.10435,0.99836,1,0.995,0.91829,0.38013,1.12861,0.58858,0.001208,0.001208,0.001208
6,183.506,0.2383,1.00644,1.05513,0.99833,1,0.995,0.98833,0.3008,1.01294,0.43752,0.00101,0.00101,0.00101
7,213.483,0.19533,0.90276,1.07007,0.99838,1,0.995,0.995,0.25894,0.90016,0.40515,0.000812,0.000812,0.000812
8,243.056,0.16958,0.84694,1.01581,0.9984,1,0.995,0.995,0.23831,0.86741,0.36349,0.000614,0.000614,0.000614
9,273.168,0.16639,0.81594,1.01647,0.99841,1,0.995,0.995,0.25674,0.87536,0.38769,0.000416,0.000416,0.000416
10,302.718,0.14038,0.75624,1.00678,0.99841,1,0.995,0.995,0.2853,0.9108,0.43602,0.000218,0.000218,0.000218
