epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,481.599,0.86704,2.53292,1.59593,0.05657,0.96875,0.07562,0.03729,1.03121,259.564,61.5723,0.00044,0.00044,0.00044
2,997.388,1.25819,2.31004,1.9664,0.00674,0.09375,0.00168,0.00063,2.70262,6225.43,11.3201,0.0008109,0.0008109,0.0008109
3,1548.43,1.05121,1.57729,2.14314,0.00807,0.9375,0.01134,0.00496,2.16492,12506.1,59.2343,0.00109072,0.00109072,0.00109072
4,2135.85,0.89659,1.34299,1.91689,0.00309,0.28125,0.00284,0.00052,4.32858,17837.5,333.431,0.00127946,0.00127946,0.00127946
5,2675.35,0.95373,1.38832,2.04855,0.01837,1,0.02068,0.0063,2.59073,4140.03,19.6927,0.001208,0.001208,0.001208
6,3358.74,0.9089,1.31428,2.0265,0.02261,0.9375,0.02341,0.01436,0.72274,1333.2,2.20387,0.00101,0.00101,0.00101
7,4173.72,0.87944,1.03891,1.98221,0.71944,0.96875,0.93333,0.67802,1.01638,8.11214,1.64898,0.000812,0.000812,0.000812
8,5237.1,0.61,0.80006,1.51018,0.38935,1,0.98331,0.8089,0.71515,8.19771,1.0299,0.000614,0.000614,0.000614
9,5848.24,0.47813,0.61127,1.38609,0.96755,1,0.995,0.86803,0.5504,2.47163,0.87088,0.000416,0.000416,0.000416
10,6427.91,0.4182,0.56572,1.32207,0.99308,0.96875,0.99409,0.90105,0.48533,1.0624,0.7261,0.000218,0.000218,0.000218
